name,need
Marginal Distributions,Probability Distributions
Probability Distributions,Real Numbers
Probability Distributions,Summation
Probability Distributions,Probability Outcomes
Real Numbers,Integer Numbers
Probability Outcomes,Probability
Probability Outcomes,Sets
Integer Numbers,Solving Equations
Sets,Objects
Solving Equations,Arithmetic
Solving Equations,Equations
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Objects
Natural Numbers,Functions
Operations,Functions
Functions,Relations
Relations,Ordered Pairs
Ordered Pairs,Sets
