name,need
Maximum Likelihood,Optimization
Maximum Likelihood,Distribution Selection
Optimization,Total Orders
Distribution Selection,Probability Distributions
Total Orders,Partial Orders
Total Orders,Set Specification
Probability Distributions,Real Numbers
Probability Distributions,Summation
Probability Distributions,Probability Outcomes
Partial Orders,Relation Properties
Partial Orders,Set Specification
Set Specification,Set Extension
Real Numbers,Integer Numbers
Probability Outcomes,Probability
Probability Outcomes,Sets
Probability Outcomes,Cardinality
Relation Properties,Relations
Set Extension,Identity
Integer Numbers,Solving Equations
Sets,Objects
Cardinality,Natural Numbers
Relations,Ordered Pairs
Identity,Objects
Solving Equations,Arithmetic
Solving Equations,Equations
Natural Numbers,Functions
Ordered Pairs,Sets
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Objects
Functions,Relations
Operations,Functions
