name,need
Norm Examples,Norms
Norms,Functionals
Functionals,Vectors
Functionals,Absolute Value
Vectors,Fields
Vectors,Groups
Absolute Value,Length
Fields,Groups
Groups,Algebras
Groups,Integer Numbers
Algebras,Operations
Integer Numbers,Solving Equations
Operations,Functions
Solving Equations,Arithmetic
Solving Equations,Equations
Functions,Relations
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Objects
Relations,Ordered Pairs
Natural Numbers,Functions
Ordered Pairs,Sets
Sets,Objects
