name,need
Supremum Norm,Norms
Supremum Norm,Absolute Value
Supremum Norm,Set Specification
Norms,Absolute Value
Norms,Functionals
Absolute Value,Length
Set Specification,Set Extension
Functionals,Vectors
Set Extension,Sets
Vectors,Fields
Vectors,Groups
Sets,Objects
Fields,Groups
Groups,Algebras
Groups,Integer Numbers
Algebras,Operations
Integer Numbers,Solving Equations
Operations,Functions
Solving Equations,Natural Numbers
Functions,Relations
Natural Numbers,Functions
Relations,Ordered Pairs
Ordered Pairs,Sets
