name,need
Zero,Constant Functions
Zero,Function Extensions
Zero,Natural Order
Zero,Solving Equations
Constant Functions,Functions
Function Extensions,Functions
Natural Order,Natural Numbers
Natural Order,Order Relations
Solving Equations,Arithmetic
Solving Equations,Function Inverses
Functions,Relations
Natural Numbers,Functions
Order Relations,Relations
Arithmetic,Algebras
Arithmetic,Function Composition
Arithmetic,Natural Numbers
Function Inverses,Function Composition
Relations,Ordered Pairs
Algebras,Operations
Function Composition,Functions
Ordered Pairs,Subsets
Operations,Functions
Subsets,Set Extension
Set Extension,Sets
Sets,Objects
