name,need
Absolute Value,Length
Absolute Value,Natural Differences
Absolute Value,Real Numbers
Natural Differences,Natural Sums
Real Numbers,Rational Numbers
Natural Sums,Natural Numbers
Rational Numbers,Integer Numbers
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Integer Numbers,Zero
Empty Set,Set Specification
Set Intersections,Pair Intersections
Set Unions,Empty Set
Set Unions,Unordered Pairs
Zero,Equation Solutions
Zero,Natural Numbers
Set Specification,Set Inclusion
Pair Intersections,Set Specification
Unordered Pairs,Set Specification
Equation Solutions,Identities
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Identities,Names
Definitions,Objects
Standardized Accounts,Accounts
Names,Letters
Names,Objects
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Sets,Names
