name,need
Affine MMSE Estimators,Covariance
Affine MMSE Estimators,Estimators
Affine MMSE Estimators,Matrix Trace
Affine MMSE Estimators,Matrix Transpose
Affine MMSE Estimators,Norms
Affine MMSE Estimators,Real Matrix Inverses
Covariance,Variance
Estimators,Estimates
Matrix Trace,Matrix Transpose
Matrix Trace,Real Matrices
Matrix Trace,Real Matrix-Matrix Products
Matrix Transpose,Vectors as Matrices
Norms,Functionals
Norms,Real Norm
Real Matrix Inverses,Inverse Elements
Real Matrix Inverses,Real Matrix-Matrix Products
Variance,Expectation
Variance,Outcome Variable Covariance
Estimates,Random Variables
Real Matrices,Arrays
Real Matrices,Linear Equations
Real Matrices,Real Vectors
Real Matrix-Matrix Products,Real Matrix-Vector Products
Vectors as Matrices,Real Inner Product
Vectors as Matrices,Real Matrices
Vectors as Matrices,Real Norm
Vectors as Matrices,Real Vectors
Functionals,Absolute Value
Functionals,Vectors
Real Norm,Absolute Value
Real Norm,Real Vectors
Real Norm,Space Norm
Inverse Elements,Element Functions
Inverse Elements,Function Inverses
Expectation,Outcome Variable Expectation
Expectation,Random Variables
Outcome Variable Covariance,Outcome Variable Expectation
Outcome Variable Covariance,Real Square Roots
Random Variables,Measurable Functions
Random Variables,Probability Measures
Random Variables,Topological Sigma Algebra
Arrays,Lists
Linear Equations,Arrays
Linear Equations,Linear Functions
Linear Equations,Natural Equations
Real Vectors,N-Dimensional Space
Real Vectors,Plane Vector Sums and Differences
Real Vectors,Space Vectors
Real Matrix-Vector Products,Real Linear Combinations
Real Matrix-Vector Products,Vectors as Matrices
Real Inner Product,N-Dimensional Space
Real Inner Product,Real Norm
Real Inner Product,Space Inner Product
Absolute Value,Interval Length
Vectors,Fields
Vectors,Real Vectors
Space Norm,Plane Norm
Space Norm,Space Distance
Element Functions,Operations
Function Inverses,Function Composites
Function Inverses,Function Images
Outcome Variable Expectation,Induced Probability Distributions
Real Square Roots,Natural Square Roots
Real Square Roots,Real Squares
Measurable Functions,Measures
Probability Measures,Event Probabilities
Probability Measures,Measures
