name,need
Borel Sigma Algebra,Topological Sigma Algebra
Borel Sigma Algebra,Set Specification
Topological Sigma Algebra,Topological Spaces
Topological Sigma Algebra,Cardinality
Topological Sigma Algebra,Set Operations
Set Specification,Set Extension
Topological Spaces,Set Operations
Topological Spaces,Metrics
Cardinality,Natural Numbers
Set Operations,Algebras
Set Extension,Identity
Set Extension,Sets
Metrics,Real Numbers
Metrics,Length Common Notions
Natural Numbers,Functions
Algebras,Operations
Identity,Objects
Sets,Objects
Real Numbers,Integer Numbers
Functions,Relations
Operations,Functions
Integer Numbers,Solving Equations
Relations,Ordered Pairs
Solving Equations,Arithmetic
Solving Equations,Equations
Ordered Pairs,Sets
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Objects
