name,need
Characterizations of Convex Functions,Convex Multivariate Functions
Convex Multivariate Functions,Affine Transformations of Real Convex Sets
Convex Multivariate Functions,Extended Real Numbers
Convex Multivariate Functions,Function Restrictions and Extensions
Convex Multivariate Functions,N-Dimensional Space
Convex Multivariate Functions,Real Convex Functions
Convex Multivariate Functions,Real Function Epigraphs
Affine Transformations of Real Convex Sets,Real Convex Sets
Extended Real Numbers,Operations
Extended Real Numbers,Real Limits
Function Restrictions and Extensions,Functions
Function Restrictions and Extensions,Orders
N-Dimensional Space,Distance
Real Convex Functions,Real Convex Sets
Real Convex Functions,Real Functions
Real Function Epigraphs,Extended Real Numbers
Real Function Epigraphs,Multivariate Functions
Real Function Epigraphs,Real Convex Sets
Real Function Epigraphs,Real Function Graphs
Real Convex Sets,N-Dimensional Line Segments
Real Convex Sets,Real Affine Sets
Real Convex Sets,Real Halfspaces
Real Convex Sets,Real Subspaces
Operations,Functions
Operations,Pair Intersections
Operations,Set Symmetric Differences
Real Limits,Absolute Value
Real Limits,Real Sequences
Functions,Relations
Orders,Natural Order
Orders,Relations
Distance,Space Distance
Real Functions,Intervals
Multivariate Functions,N-Dimensional Space
Real Function Graphs,Real Functions
N-Dimensional Line Segments,Intervals
N-Dimensional Line Segments,N-Dimensional Lines
Real Affine Sets,N-Dimensional Lines
Real Affine Sets,Real Affine Combinations
Real Halfspaces,Real Hyperplanes
Real Halfspaces,Real Inner Product
Real Halfspaces,Vectors as Matrices
Real Subspaces,Real Vectors Span
Pair Intersections,Set Specification
Set Symmetric Differences,Set Complements
Set Symmetric Differences,Set Unions
Absolute Value,Interval Length
Real Sequences,Real Numbers
Real Sequences,Sequences
Relations,Ordered Pair Projections
Natural Order,Peano Axioms
Space Distance,Plane Distance
Space Distance,Real Space
Intervals,Real Line
N-Dimensional Lines,N-Dimensional Space
Real Affine Combinations,N-Dimensional Lines
Real Affine Combinations,Real Linear Combinations
Real Hyperplanes,Affine Set Dimensions
Real Hyperplanes,Subspace Orthogonal Complements
Real Inner Product,N-Dimensional Space
Real Inner Product,Real Norm
Real Inner Product,Space Inner Product
Vectors as Matrices,Real Inner Product
Vectors as Matrices,Real Matrices
Vectors as Matrices,Real Norm
Vectors as Matrices,Real Vectors
Real Vectors Span,Real Linear Combinations
Set Specification,Set Equality
Set Complements,Empty Set
Set Complements,Set Differences
Set Unions,Empty Set
Set Unions,Unordered Pairs
Interval Length,Intervals
Real Numbers,Rational Numbers
Sequences,Lists
Ordered Pair Projections,Set Products
Ordered Pair Projections,Set Unions
Peano Axioms,Natural Induction
Plane Distance,Interval Length
Plane Distance,Real Plane
Real Space,Geometry
Real Space,Real Plane
Real Line,Integral Line
Real Line,Real Order
Real Linear Combinations,Real Vectors
Affine Set Dimensions,Affinely Independent Vectors
Affine Set Dimensions,Real Affine Hulls
Affine Set Dimensions,Real Affine Sets and Subspaces
Affine Set Dimensions,Real Subspace Dimensions
Subspace Orthogonal Complements,Orthogonal Complements
Subspace Orthogonal Complements,Subspace Dimensions
Real Norm,Absolute Value
Real Norm,Real Vectors
Real Norm,Space Norm
Space Inner Product,Plane Inner Product
Space Inner Product,Space Norm
Real Matrices,Arrays
Real Matrices,Real Linear Equations
Real Matrices,Real Vectors
Real Vectors,N-Dimensional Space
Real Vectors,Plane Vector Sums and Differences
Real Vectors,Space Vectors
Set Equality,Set Inclusion
Empty Set,Set Specification
Set Differences,Set Specification
Unordered Pairs,Set Specification
Rational Numbers,Integer Arithmetic
Rational Numbers,Natural Fractions
Lists,Direct Products
Lists,Family Unions and Intersections
Lists,Set Numbers
Set Products,Ordered Pairs
Set Products,Set Powers
Natural Induction,Natural Numbers
Real Plane,Geometry
Real Plane,Lists
Real Plane,Real Order
Geometry,Sets
Integral Line,Geometry
Integral Line,Integer Arithmetic
Real Order,Comparisons
Real Order,Rational Order
Real Order,Real Numbers
Affinely Independent Vectors,Real Affine Hulls
Real Affine Hulls,Real Affine Combinations
Real Affine Hulls,Real Affine Sets
Real Affine Sets and Subspaces,Real Affine Sets
Real Affine Sets and Subspaces,Real Subspaces
Real Affine Sets and Subspaces,Real Translates
Real Subspace Dimensions,Real Subspaces
Real Subspace Dimensions,Real Vector Bases
Orthogonal Complements,Real Inner Products
Orthogonal Complements,Vector Subspaces
Subspace Dimensions,Vector Space Dimensions
Space Norm,Plane Norm
Space Norm,Space Distance
Plane Inner Product,Plane Distance
Plane Inner Product,Plane Vectors
Plane Inner Product,Right Triangle Sides Relation
Arrays,Lists
Real Linear Equations,Arrays
Real Linear Equations,Linear Functions
Real Linear Equations,Natural Equations
Plane Vector Sums and Differences,Plane Vectors
Space Vectors,Plane Vectors
Set Inclusion,Deductions
Integer Arithmetic,Integer Products
Integer Arithmetic,Integer Sums
Integer Arithmetic,Natural Additive Identity
Integer Arithmetic,Natural Multiplicative Identity
Natural Fractions,Natural Arithmetic
Direct Products,Families
Family Unions and Intersections,Families
Family Unions and Intersections,Generalized Set Dualities
Family Unions and Intersections,Set Unions and Intersections
Set Numbers,Finite Sets
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Natural Numbers,Intersection of Empty Set
Natural Numbers,Set Differences
Natural Numbers,Successor Sets
Sets,Names
Comparisons,Converse Relations
Comparisons,Orders
Rational Order,Integer Order
Rational Order,Integer Products
Rational Order,Rational Numbers
Real Translates,N-Dimensional Space
Real Vector Bases,Independent Set of Real Vectors
Real Vector Bases,Real Vectors Span
Real Inner Products,Real Inner Product
Real Inner Products,Vectors
Vector Subspaces,Real Subspaces
Vector Subspaces,Vectors
Vector Space Dimensions,Vector Space Bases
Plane Norm,Absolute Value
Plane Norm,Plane Distance
Plane Norm,Plane Vectors
Plane Vectors,Real Plane
Right Triangle Sides Relation,Geometry
Right Triangle Sides Relation,Real Squares
Linear Functions,N-Dimensional Space
Linear Functions,Real Summation
Natural Equations,Equations
Natural Equations,Natural Order
Natural Equations,Natural Sums
Deductions,Quantified Statements
Integer Products,Integer Numbers
Integer Products,Natural Products
Integer Sums,Integer Numbers
Integer Sums,Natural Sums
Natural Additive Identity,Identity Elements
Natural Additive Identity,Natural Arithmetic
Natural Multiplicative Identity,Identity Elements
Natural Multiplicative Identity,Natural Arithmetic
Natural Arithmetic,Natural Powers
Natural Arithmetic,Operations
Families,Functions
Generalized Set Dualities,Intersection of Empty Set
Generalized Set Dualities,Set Dualities
Set Unions and Intersections,Pair Intersections
Set Unions and Intersections,Pair Unions
Finite Sets,Equivalent Sets
Unordered Triples,Pair Unions
Intersection of Empty Set,Pair Unions
Intersection of Empty Set,Set Intersections
Successor Sets,Pair Unions
Names,Letters
Names,Objects
Converse Relations,Relations
Integer Order,Integer Numbers
Integer Order,Natural Sums
Integer Order,Orders
Independent Set of Real Vectors,Real Linear Combinations
Vectors,Fields
Vectors,Real Vectors
Vector Space Bases,Linearly Dependent Vectors
Vector Space Bases,Span
Real Squares,Real Arithmetic
Real Squares,Square Numbers
Real Summation,Natural Summation
Real Summation,Real Numbers
Equations,Functions
Natural Sums,Recursion Theorem
Quantified Statements,Logical Statements
Integer Numbers,Equivalence Relations
Integer Numbers,Natural Numbers
Natural Products,Natural Sums
Identity Elements,Operations
Natural Powers,Natural Products
Set Dualities,Pair Intersections
Set Dualities,Pair Unions
Set Dualities,Set Complements
Pair Unions,Set Unions
Equivalent Sets,Equivalence Relations
Equivalent Sets,Function Inverses
Equivalent Sets,Natural Order
Set Intersections,Empty Set
Set Intersections,Pair Intersections
Fields,Rational Numbers
Fields,Rings
Linearly Dependent Vectors,Linear Combinations
Span,Real Vectors Span
Span,Vector Subspaces
Real Arithmetic,Real Multiplicative Inverses
Square Numbers,Natural Products
Square Numbers,Squares
Natural Summation,Family Operations
Natural Summation,Lists
Natural Summation,Natural Sums
Recursion Theorem,Peano Axioms
Logical Statements,Statements
Equivalence Relations,Partitions
Equivalence Relations,Relations
Function Inverses,Function Composites
Function Inverses,Function Images
Rings,Integer Arithmetic
Linear Combinations,Real Linear Combinations
Linear Combinations,Vectors
Real Multiplicative Inverses,Rational Multiplicative Inverses
Real Multiplicative Inverses,Real Products
Squares,Geometry
Family Operations,Families
Family Operations,Operations
Statements,Identities
Statements,Sets
Partitions,Set Intersections
Partitions,Set Unions
Function Composites,Functions
Function Images,Functions
Rational Multiplicative Inverses,Integer Arithmetic
Rational Multiplicative Inverses,Inverse Elements
Rational Multiplicative Inverses,Rational Products
Real Products,Rational Arithmetic
Real Products,Real Additive Inverses
Real Products,Real Order
Identities,Names
Inverse Elements,Element Functions
Inverse Elements,Function Inverses
Rational Products,Integer Products
Rational Products,Rational Numbers
Rational Arithmetic,Integer Arithmetic
Rational Arithmetic,Rational Products
Rational Arithmetic,Rational Sums
Real Additive Inverses,Real Sums
Element Functions,Operations
Rational Sums,Rational Numbers
Real Sums,Real Numbers
