name,need
Coins,Natural Numbers
Coins,Probability Outcomes
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Probability Outcomes,Cardinality
Probability Outcomes,Probability
Empty Set,Set Equality
Set Intersections,Set Specification
Set Unions,Set Specification
Cardinality,Injective Functions
Cardinality,Natural Numbers
Probability,Common Sense
Set Equality,Identity
Set Equality,Standardized Accounts
Set Specification,Set Inclusion
Injective Functions,Functions
Identity,Objects
Standardized Accounts,Accounts
Set Inclusion,Empty Set
Functions,Relations
Accounts,Deductions
Accounts,Quantified Statements
Relations,Ordered Pairs
Deductions,Logical Statements
Quantified Statements,Logical Statements
Ordered Pairs,Unordered Pairs
Logical Statements,Statements
Unordered Pairs,Set Specification
Statements,Identities
Statements,Sets
Identities,Objects
Sets,Objects
