name,need
Convex Functions,Convex Sets
Convex Functions,Real Functions
Convex Sets,Affine Sets
Convex Sets,Intervals
Convex Sets,Set Operations
Real Functions,Intervals
Affine Sets,N-Dimensional Space
Intervals,Real Numbers
Set Operations,Operations
Set Operations,Pair Intersections
Set Operations,Set Symmetric Differences
N-Dimensional Space,Real Numbers
N-Dimensional Space,Space
Real Numbers,Rational Numbers
Operations,Functions
Pair Intersections,Set Specification
Set Symmetric Differences,Set Complements
Set Symmetric Differences,Set Unions
Rational Numbers,Integer Numbers
Functions,Relations
Set Specification,Set Inclusion
Set Complements,Empty Set
Set Complements,Set Differences
Set Unions,Empty Set
Set Unions,Unordered Pairs
Integer Numbers,Equivalence Relations
Integer Numbers,Natural Numbers
Relations,Cartesian Products
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Empty Set,Set Specification
Set Differences,Set Specification
Unordered Pairs,Set Specification
Equivalence Relations,Partitions
Equivalence Relations,Relations
Natural Numbers,Intersection of Empty Set
Natural Numbers,Set Differences
Natural Numbers,Successor Sets
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Definitions,Objects
Standardized Accounts,Accounts
Partitions,Set Intersections
Partitions,Set Unions
Intersection of Empty Set,Pair Unions
Intersection of Empty Set,Set Intersections
Successor Sets,Pair Unions
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Accounts,Deductions
Accounts,Quantified Statements
Set Intersections,Pair Intersections
Pair Unions,Set Unions
Unordered Triples,Pair Unions
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
