name,need
Convex Hulls,Convex Sets
Convex Sets,Affine Sets
Convex Sets,Intervals
Convex Sets,Set Operations
Affine Sets,N-Dimensional Space
Intervals,Real Numbers
Set Operations,Algebras
Set Operations,Set Intersections
Set Operations,Set Symmetric Differences
Set Operations,Set Unions
N-Dimensional Space,Real Numbers
N-Dimensional Space,Space
Real Numbers,Rational Numbers
Algebras,Operations
Set Intersections,Pair Intersections
Set Symmetric Differences,Set Complements
Set Symmetric Differences,Set Unions
Set Unions,Empty Set
Set Unions,Unordered Pairs
Rational Numbers,Integer Numbers
Operations,Functions
Pair Intersections,Set Specification
Set Complements,Empty Set
Set Complements,Set Differences
Empty Set,Set Specification
Unordered Pairs,Set Specification
Integer Numbers,Natural Numbers
Functions,Relations
Set Specification,Set Inclusion
Set Differences,Set Specification
Natural Numbers,Set Intersections
Natural Numbers,Successor Sets
Relations,Cartesian Products
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Successor Sets,Pair Intersections
Successor Sets,Pair Unions
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Definitions,Objects
Standardized Accounts,Accounts
Pair Unions,Set Unions
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Accounts,Deductions
Accounts,Quantified Statements
Unordered Triples,Pair Unions
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
