name,need
Convex Sets,Intervals
Convex Sets,Set Operations
Intervals,Real Numbers
Set Operations,Algebras
Real Numbers,Rational Numbers
Algebras,Operations
Rational Numbers,Integer Numbers
Operations,Functions
Integer Numbers,Solving Equations
Functions,Relations
Solving Equations,Arithmetic
Solving Equations,Equations
Relations,Ordered Pairs
Relations,Set Inclusion
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Identity
Ordered Pairs,Sets
Set Inclusion,Set Equality
Natural Numbers,Functions
Identity,Objects
Sets,Objects
Set Equality,Identity
Set Equality,Sets
