name,need
Equivalence Relations,Partitions
Equivalence Relations,Relations
Partitions,Set Intersections
Partitions,Set Unions
Relations,Cartesian Products
Set Intersections,Pair Intersections
Set Unions,Empty Set
Set Unions,Unordered Pairs
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Pair Intersections,Set Specification
Empty Set,Set Specification
Unordered Pairs,Set Specification
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Set Specification,Set Inclusion
Unordered Triples,Pair Unions
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Pair Unions,Set Unions
Definitions,Objects
Standardized Accounts,Accounts
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
