name,need
Function Inverses,Function Composites
Function Inverses,Injective Functions
Function Inverses,Surjective Functions
Function Composites,Functions
Injective Functions,Functions
Surjective Functions,Functions
Functions,Relations
Relations,Ordered Pairs
Ordered Pairs,Empty Set
Ordered Pairs,Unordered Pairs
Empty Set,Set Equality
Empty Set,Standardized Accounts
Unordered Pairs,Set Specification
Set Equality,Identity
Set Equality,Sets
Set Equality,Standardized Accounts
Standardized Accounts,Accounts
Set Specification,Sentences
Set Specification,Set Inclusion
Identity,Objects
Sets,Objects
Accounts,Letters
Accounts,Objects
Sentences,Sets
Set Inclusion,Set Equality
Set Inclusion,Standardized Accounts
