name,need
Index Matrices,Matrices
Index Matrices,Matrix Transpose
Index Matrices,Permutation Matrices
Matrices,Vectors
Matrix Transpose,Vectors
Permutation Matrices,Matrices
Permutation Matrices,Permutations
Vectors,Fields
Vectors,N-Dimensional Space
Permutations,Function Inverses
Fields,Groups
Fields,Rational Numbers
N-Dimensional Space,Real Numbers
N-Dimensional Space,Space
Function Inverses,Function Composites
Function Inverses,Function Images
Groups,Algebras
Groups,Integer Numbers
Rational Numbers,Integer Numbers
Real Numbers,Rational Numbers
Function Composites,Functions
Function Images,Functions
Algebras,Operations
Integer Numbers,Natural Numbers
Functions,Relations
Operations,Functions
Natural Numbers,Set Intersections
Natural Numbers,Successor Sets
Relations,Cartesian Products
Set Intersections,Pair Intersections
Successor Sets,Pair Intersections
Successor Sets,Pair Unions
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Pair Intersections,Set Specification
Pair Unions,Set Unions
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Set Specification,Set Inclusion
Set Unions,Empty Set
Set Unions,Unordered Pairs
Unordered Pairs,Set Specification
Unordered Triples,Pair Unions
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Empty Set,Set Specification
Definitions,Objects
Standardized Accounts,Accounts
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
