name,need
Isometries,Function Inverses
Isometries,Metrics
Function Inverses,Function Composition
Function Inverses,Injective Functions
Function Inverses,Surjective Functions
Metrics,Length Common Notions
Metrics,Real Numbers
Function Composition,Functions
Injective Functions,Functions
Surjective Functions,Functions
Real Numbers,Rational Numbers
Functions,Relations
Rational Numbers,Integer Numbers
Relations,Ordered Pairs
Integer Numbers,Solving Equations
Ordered Pairs,Sets
Solving Equations,Arithmetic
Solving Equations,Equations
Sets,Objects
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Identity
Natural Numbers,Functions
Operations,Functions
Identity,Objects
