name,need
Marginal Distributions,Direct Products
Marginal Distributions,Probability Distributions
Direct Products,Natural Families
Direct Products,Natural Order
Probability Distributions,Probability Outcomes
Probability Distributions,Real Summation
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Probability Outcomes,Cardinality
Probability Outcomes,Probability
Real Summation,Natural Summation
Real Summation,Real Numbers
Families,Functions
Families,Set Specification
Families,Subsets
Natural Numbers,Functions
Cardinality,Injective Functions
Cardinality,Natural Numbers
Probability,Common Sense
Natural Summation,Arithmetic
Natural Summation,Family Operations
Real Numbers,Rational Numbers
Functions,Relations
Set Specification,Set Equality
Subsets,Sets
Injective Functions,Functions
Arithmetic,Natural Numbers
Arithmetic,Operations
Family Operations,Algebras
Family Operations,Families
Rational Numbers,Integer Numbers
Relations,Ordered Pairs
Set Equality,Identity
Set Equality,Sets
Sets,Objects
Operations,Functions
Algebras,Operations
Integer Numbers,Solving Equations
Ordered Pairs,Sets
Identity,Objects
Solving Equations,Arithmetic
Solving Equations,Equations
Equations,Objects
