name,need
Matrix Similarity,Equivalence Relations
Matrix Similarity,Matrix Inverses
Matrix Similarity,Permutation Matrices
Matrix Similarity,Real Matrices
Equivalence Relations,Relations
Matrix Inverses,Inverse Elements
Matrix Inverses,Matrix-Matrix Products
Permutation Matrices,Matrices
Permutation Matrices,Permutations
Real Matrices,Matrices
Relations,Ordered Pairs
Inverse Elements,Element Functions
Matrix-Matrix Products,Matrices
Matrices,Vectors
Permutations,Function Inverses
Ordered Pairs,Unordered Pairs
Element Functions,Algebras
Vectors,Fields
Vectors,N-Dimensional Space
Function Inverses,Function Composites
Function Inverses,Injective Functions
Function Inverses,Surjective Functions
Unordered Pairs,Set Specification
Algebras,Operations
Fields,Groups
Fields,Rational Numbers
N-Dimensional Space,Real Numbers
N-Dimensional Space,Space
Function Composites,Functions
Injective Functions,Functions
Surjective Functions,Functions
Set Specification,Set Inclusion
Operations,Functions
Groups,Algebras
Groups,Integer Numbers
Rational Numbers,Integer Numbers
Real Numbers,Rational Numbers
Functions,Relations
Set Inclusion,Empty Set
Integer Numbers,Zero
Empty Set,Set Equality
Zero,Equation Solutions
Zero,Natural Numbers
Set Equality,Identity
Set Equality,Standardized Accounts
Equation Solutions,Equations
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Identity,Objects
Standardized Accounts,Accounts
Equations,Identity
Set Intersections,Set Specification
Set Unions,Set Specification
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Objects
Sets,Objects
