name,need
Maximum Likelihood,Distribution Selection
Maximum Likelihood,Optimizers
Distribution Selection,Datasets
Distribution Selection,Probability Distributions
Optimizers,Total Orders
Datasets,Direct Products
Probability Distributions,Intervals
Probability Distributions,Probability Outcomes
Probability Distributions,Real Summation
Total Orders,Partial Orders
Direct Products,Natural Families
Direct Products,Natural Order
Intervals,Real Numbers
Probability Outcomes,Cardinality
Probability Outcomes,Probability
Real Summation,Natural Summation
Real Summation,Real Numbers
Partial Orders,Relation Properties
Partial Orders,Set Specification
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Real Numbers,Rational Numbers
Cardinality,Injective Functions
Cardinality,Natural Numbers
Probability,Common Sense
Natural Summation,Arithmetic
Natural Summation,Family Operations
Relation Properties,Relations
Set Specification,Sentences
Set Specification,Set Inclusion
Families,Functions
Families,Power Set
Natural Numbers,Functions
Rational Numbers,Integer Numbers
Injective Functions,Functions
Arithmetic,Natural Numbers
Arithmetic,Operations
Family Operations,Algebras
Family Operations,Families
Relations,Ordered Pairs
Sentences,Sets
Set Inclusion,Set Equality
Functions,Relations
Power Set,Set Inclusion
Integer Numbers,Equation Solutions
Operations,Functions
Algebras,Operations
Ordered Pairs,Unordered Pairs
Sets,Objects
Set Equality,Identity
Set Equality,Sets
Equation Solutions,Arithmetic
Equation Solutions,Equations
Unordered Pairs,Set Specification
Identity,Objects
Equations,Identity
