name,need
Measures,Cardinality
Measures,Extended Real Numbers
Measures,Power Set
Measures,Subset Algebras
Cardinality,Injective Functions
Cardinality,Natural Numbers
Extended Real Numbers,Intervals
Extended Real Numbers,Real Limits
Extended Real Numbers,Set Operations
Power Set,Set Inclusion
Subset Algebras,Cardinality
Subset Algebras,Set Operations
Subset Algebras,Subset Systems
Injective Functions,Functions
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Intervals,Real Numbers
Real Limits,Real Sequences
Set Operations,Algebras
Set Operations,Set Intersections
Set Operations,Set Symmetric Differences
Set Operations,Set Unions
Set Inclusion,Set Equality
Subset Systems,Ordered Pairs
Subset Systems,Power Set
Functions,Relations
Empty Set,Set Specification
Set Intersections,Set Specification
Set Unions,Set Specification
Real Numbers,Rational Numbers
Real Sequences,Real Numbers
Real Sequences,Sequences
Algebras,Operations
Set Symmetric Differences,Set Complements
Set Symmetric Differences,Set Unions
Set Equality,Identity
Set Equality,Sets
Ordered Pairs,Empty Set
Ordered Pairs,Unordered Pairs
Relations,Ordered Pairs
Set Specification,Sentences
Set Specification,Set Inclusion
Rational Numbers,Integer Numbers
Sequences,Direct Products
Sequences,Function Composites
Operations,Functions
Set Complements,Set Specification
Identity,Objects
Sets,Objects
Unordered Pairs,Set Specification
Sentences,Sets
Integer Numbers,Zero
Direct Products,Natural Families
Direct Products,Natural Order
Function Composites,Functions
Zero,Equation Solutions
Zero,Natural Numbers
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Equation Solutions,Equations
Families,Functions
Families,Power Set
Equations,Identity
