name,need
Metric Continuity,Metrics
Metric Continuity,Real Continuity
Metrics,Distance
Metrics,Real Numbers
Real Continuity,Absolute Value
Real Continuity,Real Numbers
Real Continuity,Sequences
Distance,Length Common Notions
Real Numbers,Rational Numbers
Absolute Value,Length
Absolute Value,Natural Difference
Absolute Value,Real Numbers
Sequences,Direct Products
Sequences,Function Composites
Rational Numbers,Integer Numbers
Natural Difference,Natural Addition
Direct Products,Natural Difference
Direct Products,Natural Families
Direct Products,Natural Order
Function Composites,Functions
Integer Numbers,Equation Solutions
Natural Addition,Natural Numbers
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Functions,Relations
Equation Solutions,Arithmetic
Equation Solutions,Equations
Natural Numbers,Functions
Families,Functions
Families,Power Set
Relations,Ordered Pairs
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Identity
Power Set,Set Inclusion
Ordered Pairs,Empty Set
Ordered Pairs,Unordered Pairs
Operations,Functions
Identity,Objects
Set Inclusion,Set Equality
Empty Set,Set Inclusion
Empty Set,Set Specification
Unordered Pairs,Set Specification
Set Equality,Identity
Set Equality,Sets
Set Specification,Sentences
Set Specification,Set Inclusion
Sets,Objects
Sentences,Sets
