name,need
Metric Space Examples,Set Specification
Metric Space Examples,Metrics
Metric Space Examples,Absolute Value
Set Specification,Set Extension
Metrics,Real Numbers
Metrics,Length Common Notions
Absolute Value,Length
Absolute Value,Real Numbers
Set Extension,Identity
Set Extension,Sets
Real Numbers,Integer Numbers
Identity,Objects
Sets,Objects
Integer Numbers,Solving Equations
Solving Equations,Arithmetic
Solving Equations,Equations
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Objects
Natural Numbers,Functions
Operations,Functions
Functions,Relations
Functions,Set Specification
Relations,Ordered Pairs
Ordered Pairs,Sets
