name,need
Monotone Sequences,Sequences
Monotone Sequences,Set Inclusion
Sequences,Direct Products
Sequences,Function Composites
Set Inclusion,Set Equality
Direct Products,Natural Difference
Direct Products,Natural Families
Direct Products,Natural Order
Function Composites,Functions
Set Equality,Identity
Set Equality,Sets
Natural Difference,Natural Addition
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Functions,Relations
Identity,Objects
Sets,Objects
Natural Addition,Natural Numbers
Families,Functions
Families,Power Set
Natural Numbers,Functions
Relations,Ordered Pairs
Power Set,Set Inclusion
Ordered Pairs,Empty Set
Ordered Pairs,Unordered Pairs
Empty Set,Set Inclusion
Empty Set,Set Specification
Unordered Pairs,Set Specification
Set Specification,Sentences
Set Specification,Set Inclusion
Sentences,Sets
