name,need
Natural Summation,Arithmetic
Natural Summation,Family Operations
Arithmetic,Natural Numbers
Arithmetic,Operations
Family Operations,Algebras
Family Operations,Families
Natural Numbers,Functions
Operations,Functions
Algebras,Operations
Families,Functions
Families,Set Specification
Functions,Relations
Set Specification,Sentences
Set Specification,Set Inclusion
Relations,Ordered Pairs
Relations,Set Inclusion
Sentences,Sets
Set Inclusion,Set Equality
Ordered Pairs,Sets
Sets,Objects
Set Equality,Identity
Set Equality,Sets
Identity,Objects
