name,need
Number of Disjoint Unions,Empty Set
Number of Disjoint Unions,Natural Sums
Number of Disjoint Unions,Pair Intersections
Number of Disjoint Unions,Set Numbers
Empty Set,Set Specification
Natural Sums,Recursion Theorem
Pair Intersections,Set Specification
Set Numbers,Finite Sets
Set Specification,Set Equality
Recursion Theorem,Peano Axioms
Finite Sets,Equivalent Sets
Set Equality,Set Inclusion
Peano Axioms,Natural Induction
Equivalent Sets,Equivalence Relations
Equivalent Sets,Function Inverses
Equivalent Sets,Natural Order
Set Inclusion,Deductions
Natural Induction,Natural Numbers
Equivalence Relations,Partitions
Equivalence Relations,Relations
Function Inverses,Function Composites
Function Inverses,Function Images
Natural Order,Peano Axioms
Deductions,Quantified Statements
Natural Numbers,Intersection of Empty Set
Natural Numbers,Set Differences
Natural Numbers,Successor Sets
Partitions,Set Intersections
Partitions,Set Unions
Relations,Ordered Pair Projections
Relations,Set Products
Function Composites,Functions
Function Images,Functions
Quantified Statements,Logical Statements
Intersection of Empty Set,Pair Unions
Intersection of Empty Set,Set Intersections
Set Differences,Set Specification
Successor Sets,Pair Unions
Set Intersections,Empty Set
Set Intersections,Pair Intersections
Set Unions,Empty Set
Set Unions,Unordered Pairs
Ordered Pair Projections,Set Products
Ordered Pair Projections,Set Unions
Set Products,Ordered Pairs
Set Products,Set Powers
Functions,Relations
Logical Statements,Statements
Pair Unions,Set Unions
Unordered Pairs,Set Specification
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Statements,Identities
Statements,Sets
Unordered Triples,Pair Unions
Identities,Names
Sets,Names
Names,Letters
Names,Objects
