name,need
Optimal Spanning Trees,Optimization
Optimal Spanning Trees,Spanning Trees
Optimal Spanning Trees,Weighted Graphs
Optimization,Total Orders
Spanning Trees,Trees
Weighted Graphs,Graphs
Weighted Graphs,Real Numbers
Total Orders,Partial Orders
Total Orders,Set Specification
Trees,Graphs
Trees,Set Operations
Graphs,Relations
Real Numbers,Rational Numbers
Partial Orders,Relation Properties
Partial Orders,Set Specification
Set Specification,Sentences
Set Specification,Set Inclusion
Set Operations,Algebras
Relations,Ordered Pairs
Relations,Set Inclusion
Rational Numbers,Integer Numbers
Relation Properties,Relations
Sentences,Sets
Set Inclusion,Set Equality
Algebras,Operations
Ordered Pairs,Sets
Integer Numbers,Solving Equations
Sets,Objects
Set Equality,Identity
Set Equality,Sets
Operations,Functions
Solving Equations,Arithmetic
Solving Equations,Equations
Identity,Objects
Functions,Relations
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Identity
Natural Numbers,Functions
