name,need
Optimal Tree Density Approximators,Tree Density Approximators
Tree Density Approximators,Differential Relative Entropy
Tree Density Approximators,Tree Densities
Tree Density Approximators,Tree Distribution Approximators
Differential Relative Entropy,Differential Cross Entropy
Differential Relative Entropy,Relative Entropy
Tree Densities,Rooted Tree Densities
Tree Distribution Approximators,Distribution Approximators
Tree Distribution Approximators,Relative Entropy
Tree Distribution Approximators,Tree Distributions
Differential Cross Entropy,Differential Entropy
Relative Entropy,Cross Entropy of Probability Distributions
Relative Entropy,Discrete Entropy
Relative Entropy,Similarity Functions
Rooted Tree Densities,Conditional Densities
Rooted Tree Densities,Rooted Tree Distributions
Distribution Approximators,Approximators
Distribution Approximators,Empirical Distribution of a Dataset
Tree Distributions,Rooted Tree Distributions
Differential Entropy,Discrete Entropy
Differential Entropy,Multivariate Real Densities
Cross Entropy of Probability Distributions,Logarithm
Cross Entropy of Probability Distributions,Outcome Probabilities
Discrete Entropy,Logarithm
Discrete Entropy,Outcome Probabilities
Similarity Functions,Metrics
Conditional Densities,Conditional Distributions
Conditional Densities,Marginal Densities
Rooted Tree Distributions,Conditional Distributions
Rooted Tree Distributions,Rooted Trees
Approximators,Real Optimizers
Approximators,Similarity Functions
Empirical Distribution of a Dataset,Outcome Probabilities
Empirical Distribution of a Dataset,Set Numbers
Multivariate Real Densities,N-Dimensional Space
Multivariate Real Densities,Probability Densities
Logarithm,Exponential Function
Logarithm,Real Numbers
Outcome Probabilities,Real Functions
Outcome Probabilities,Real Summation
Outcome Probabilities,Set Numbers
Outcome Probabilities,Uncertain Outcomes
Metrics,Absolute Value
Metrics,Distance
Conditional Distributions,Conditional Event Probabilities
Conditional Distributions,Marginal Probability Distributions
Marginal Densities,Multivariate Real Densities
Rooted Trees,Directed Graphs
Rooted Trees,Trees
Real Optimizers,Optimizers
Real Optimizers,Real Numbers
Set Numbers,Finite Sets
N-Dimensional Space,Distance
Probability Densities,Outcome Probabilities
Probability Densities,Real Integrals
Exponential Function,Real Functions
Real Numbers,Rational Numbers
Real Functions,Intervals
Real Summation,Natural Summation
Real Summation,Real Numbers
