name,need
Permutations,Function Inverses
Function Inverses,Function Composites
Function Inverses,Injective Functions
Function Inverses,Surjective Functions
Function Composites,Functions
Injective Functions,Functions
Surjective Functions,Functions
Functions,Relations
Relations,Ordered Pairs
Ordered Pairs,Unordered Pairs
Unordered Pairs,Set Specification
Set Specification,Set Inclusion
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Definitions,Objects
Standardized Accounts,Accounts
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
