name,need
Polyhedra,Inner Products
Polyhedra,Real Polyhedra
Inner Products,Complex Inner Products
Inner Products,Real Inner Products
Real Polyhedra,Affine Set Dimensions
Real Polyhedra,Real Balls
Real Polyhedra,Real Halfspaces
Real Polyhedra,Topological Interiors
Complex Inner Products,Complex Numbers
Complex Inner Products,Real Inner Products
Real Inner Products,Real Inner Product
Real Inner Products,Vectors
Affine Set Dimensions,Affinely Independent Vectors
Affine Set Dimensions,Real Affine Hulls
Affine Set Dimensions,Real Affine Sets and Subspaces
Affine Set Dimensions,Real Subspace Dimensions
Real Balls,N-Dimensional Space
Real Halfspaces,Real Hyperplanes
Real Halfspaces,Real Inner Product
Real Halfspaces,Vectors as Matrices
Topological Interiors,Topological Neighborhoods
Complex Numbers,Absolute Value
Complex Numbers,Real Arithmetic
Real Inner Product,N-Dimensional Space
Real Inner Product,Real Norm
Real Inner Product,Space Inner Product
Vectors,Fields
Vectors,Real Vectors
Affinely Independent Vectors,Real Affine Hulls
Real Affine Hulls,Real Affine Combinations
Real Affine Hulls,Real Affine Sets
Real Affine Sets and Subspaces,Real Affine Sets
Real Affine Sets and Subspaces,Real Subspaces
Real Affine Sets and Subspaces,Real Translates
Real Subspace Dimensions,Real Subspaces
Real Subspace Dimensions,Real Vector Bases
N-Dimensional Space,Distance
Real Hyperplanes,Affine Set Dimensions
Real Hyperplanes,Subspace Orthogonal Complements
Vectors as Matrices,Real Inner Product
Vectors as Matrices,Real Matrices
Vectors as Matrices,Real Norm
Vectors as Matrices,Real Vectors
Topological Neighborhoods,Topologies
Absolute Value,Interval Length
Real Arithmetic,Real Multiplicative Inverses
Real Norm,Absolute Value
Real Norm,Real Vectors
Real Norm,Space Norm
Space Inner Product,Plane Inner Product
Space Inner Product,Space Norm
Fields,Rational Numbers
Fields,Rings
Real Vectors,N-Dimensional Space
Real Vectors,Plane Vector Sums and Differences
Real Vectors,Space Vectors
Real Affine Combinations,N-Dimensional Lines
Real Affine Combinations,Real Linear Combinations
Real Affine Sets,N-Dimensional Lines
Real Affine Sets,Real Affine Combinations
Real Subspaces,Real Vectors Span
Real Translates,N-Dimensional Space
Real Vector Bases,Independent Set of Real Vectors
Real Vector Bases,Real Vectors Span
Distance,Space Distance
Subspace Orthogonal Complements,Orthogonal Complements
Subspace Orthogonal Complements,Subspace Dimensions
Real Matrices,Arrays
Real Matrices,Real Linear Equations
Real Matrices,Real Vectors
Topologies,Metrics
Interval Length,Intervals
Real Multiplicative Inverses,Rational Multiplicative Inverses
Real Multiplicative Inverses,Real Products
Space Norm,Plane Norm
Space Norm,Space Distance
Plane Inner Product,Plane Distance
Plane Inner Product,Plane Vectors
Plane Inner Product,Right Triangle Sides Relation
Rational Numbers,Integer Arithmetic
Rational Numbers,Natural Fractions
Rings,Integer Arithmetic
Plane Vector Sums and Differences,Plane Vectors
Space Vectors,Plane Vectors
N-Dimensional Lines,N-Dimensional Space
Real Linear Combinations,Real Vectors
Real Vectors Span,Real Linear Combinations
Independent Set of Real Vectors,Real Linear Combinations
Space Distance,Plane Distance
Space Distance,Real Space
Orthogonal Complements,Real Inner Products
Orthogonal Complements,Vector Subspaces
Subspace Dimensions,Vector Space Dimensions
Arrays,Lists
Real Linear Equations,Arrays
