name,need
Polynomial Fit Models,N-Dimensional Line Segments
Polynomial Fit Models,Polynomial Regressors
Polynomial Fit Models,Probabilistic Errors Linear Model
N-Dimensional Line Segments,Intervals
N-Dimensional Line Segments,N-Dimensional Lines
Polynomial Regressors,Feature Maps
Polynomial Regressors,Polynomials
Probabilistic Errors Linear Model,Covariance
Probabilistic Errors Linear Model,Data Matrix
Probabilistic Errors Linear Model,Feature Maps
Probabilistic Errors Linear Model,Probabilistic Predictors
Probabilistic Errors Linear Model,Probability Measures
Probabilistic Errors Linear Model,Random Variable Moments
Probabilistic Errors Linear Model,Real Matrix Inverses
Intervals,Real Line
N-Dimensional Lines,N-Dimensional Space
Feature Maps,Least Squares Linear Regressors
Polynomials,Lists
Polynomials,Real Polynomials
Polynomials,Rings
Covariance,Real-Valued Random Variable Variance
Data Matrix,Real Matrices
Data Matrix,Vectors as Matrices
Probabilistic Predictors,Predictors
Probabilistic Predictors,Probability Measures
Probability Measures,Event Probabilities
Probability Measures,Measures
Random Variable Moments,Real-Valued Random Variable Expectation
Real Matrix Inverses,Inverse Elements
Real Matrix Inverses,Real Matrix-Matrix Products
Real Line,Integral Line
Real Line,Real Order
N-Dimensional Space,Distance
Least Squares Linear Regressors,Linear Predictors
Least Squares Linear Regressors,Loss Functions
Least Squares Linear Regressors,Matrix Transpose
Least Squares Linear Regressors,Norms
Least Squares Linear Regressors,Real Matrix Inverses
Least Squares Linear Regressors,Regressors
Lists,Direct Products
Lists,Family Unions and Intersections
Lists,Set Numbers
Real Polynomials,Real Arithmetic
Rings,Integer Arithmetic
Real-Valued Random Variable Variance,Outcome Variable Covariance
Real-Valued Random Variable Variance,Real-Valued Random Variable Expectation
Real Matrices,Arrays
Real Matrices,Real Linear Equations
Real Matrices,Real Vectors
Vectors as Matrices,Real Inner Product
Vectors as Matrices,Real Matrices
Vectors as Matrices,Real Norm
Vectors as Matrices,Real Vectors
Predictors,Lists
Event Probabilities,Outcome Probabilities
Event Probabilities,Size of Direct Product
Event Probabilities,Uncertain Events
Measures,Extended Real Numbers
Measures,Length Measure
Measures,Sigma Algebras
Real-Valued Random Variable Expectation,Outcome Variable Expectation
Real-Valued Random Variable Expectation,Random Variables
Inverse Elements,Element Functions
Inverse Elements,Function Inverses
Real Matrix-Matrix Products,Real Matrix-Vector Products
Integral Line,Geometry
Integral Line,Integer Arithmetic
Real Order,Comparisons
Real Order,Rational Order
Real Order,Real Numbers
Distance,Space Distance
Linear Predictors,Input Designs
Linear Predictors,Linear Transformations
Linear Predictors,Matrix Transpose
Linear Predictors,Real Function Approximators
Loss Functions,Predictor Performance Metrics
Loss Functions,Similarity Functions
Matrix Transpose,Vectors as Matrices
Norms,Functionals
Norms,Real Norm
Regressors,Predictors
Regressors,Real Numbers
Direct Products,Families
Family Unions and Intersections,Families
Family Unions and Intersections,Generalized Set Dualities
Family Unions and Intersections,Set Unions and Intersections
Set Numbers,Finite Sets
Real Arithmetic,Real Multiplicative Inverses
Integer Arithmetic,Integer Products
Integer Arithmetic,Integer Sums
Integer Arithmetic,Natural Additive Identity
Integer Arithmetic,Natural Multiplicative Identity
Outcome Variable Covariance,Outcome Variable Expectation
Outcome Variable Covariance,Real Square Roots
Arrays,Lists
Real Linear Equations,Arrays
Real Linear Equations,Linear Functions
Real Linear Equations,Natural Equations
Real Vectors,N-Dimensional Space
Real Vectors,Plane Vector Sums and Differences
Real Vectors,Space Vectors
Real Inner Product,N-Dimensional Space
Real Inner Product,Real Norm
Real Inner Product,Space Inner Product
Real Norm,Absolute Value
