name,need
Polynomial Regressors,Feature Maps
Polynomial Regressors,Polynomials
Feature Maps,Least Squares Linear Regressors
Polynomials,Lists
Polynomials,Rings
Least Squares Linear Regressors,Linear Predictors
Least Squares Linear Regressors,Loss Functions
Least Squares Linear Regressors,Matrix Inverses
Least Squares Linear Regressors,Matrix Transpose
Least Squares Linear Regressors,Norms
Least Squares Linear Regressors,Regressors
Lists,Direct Products
Lists,Family Unions and Intersections
Lists,Set Numbers
Rings,Groups
Rings,Integer Arithmetic
Linear Predictors,Input Designs
Linear Predictors,Linear Transformations
Linear Predictors,Matrix Transpose
Linear Predictors,Real Function Approximators
Loss Functions,Inductors
Loss Functions,Similarity Functions
Matrix Inverses,Inverse Elements
Matrix Inverses,Matrix-Matrix Products
Matrix Transpose,Matrices
Norms,Functionals
Norms,Real Norm
Regressors,Inductors
Regressors,Real Numbers
Direct Products,Families
Family Unions and Intersections,Families
Family Unions and Intersections,Generalized Set Dualities
Family Unions and Intersections,Set Unions and Intersections
Set Numbers,Finite Sets
Groups,Integer Additive Inverses
Groups,Integer Arithmetic
Integer Arithmetic,Integer Products
Integer Arithmetic,Integer Sums
Integer Arithmetic,Natural Additive Identity
Integer Arithmetic,Natural Multiplicative Identity
Input Designs,Consistent Inductors
Linear Transformations,Linear Combinations
Linear Transformations,Transformations
Real Function Approximators,Approximators
Real Function Approximators,Real Function Space
Real Function Approximators,Vector Space Bases
Inductors,Datasets
Similarity Functions,Metrics
Inverse Elements,Element Functions
Inverse Elements,Function Inverses
Matrix-Matrix Products,Matrix-Vector Products
Matrices,Real Matrices
Matrices,Vectors
Functionals,Absolute Value
Functionals,Vectors
Real Norm,Absolute Value
Real Norm,N-Dimensional Space
Real Numbers,Rational Numbers
Families,Functions
Generalized Set Dualities,Intersection of Empty Set
Generalized Set Dualities,Set Dualities
Set Unions and Intersections,Pair Intersections
Set Unions and Intersections,Pair Unions
Finite Sets,Equivalent Sets
Integer Additive Inverses,Integer Sums
Integer Additive Inverses,Inverse Elements
Integer Products,Integer Numbers
Integer Products,Natural Products
Integer Sums,Integer Numbers
Integer Sums,Natural Sums
Natural Additive Identity,Arithmetic
Natural Additive Identity,Identity Elements
Natural Multiplicative Identity,Arithmetic
Natural Multiplicative Identity,Identity Elements
Consistent Inductors,Inductors
Linear Combinations,Vectors
Transformations,Vectors
Approximators,Real Optimizers
Approximators,Similarity Functions
Real Function Space,Real Functions
Real Function Space,Vectors
Vector Space Bases,Linearly Dependent Vectors
Vector Space Bases,Span
Datasets,Lists
Metrics,Absolute Value
Metrics,Distance
Element Functions,Algebras
Function Inverses,Function Composites
Function Inverses,Function Images
Matrix-Vector Products,Linear Combinations
Matrix-Vector Products,Matrices
Matrix-Vector Products,Vectors
Real Matrices,Linear Equations
Vectors,Fields
Vectors,N-Dimensional Space
Vectors,Real Vectors
Absolute Value,Interval Length
N-Dimensional Space,Distance
Rational Numbers,Integer Arithmetic
Functions,Relations
Intersection of Empty Set,Pair Unions
Intersection of Empty Set,Set Intersections
Set Dualities,Pair Intersections
Set Dualities,Pair Unions
Set Dualities,Set Complements
Pair Intersections,Set Specification
Pair Unions,Set Unions
Equivalent Sets,Equivalence Relations
Equivalent Sets,Function Inverses
Equivalent Sets,Natural Order
Integer Numbers,Equivalence Relations
Integer Numbers,Natural Numbers
Natural Products,Natural Sums
Natural Sums,Recursion Theorem
Arithmetic,Natural Powers
Arithmetic,Operations
Identity Elements,Operations
Real Optimizers,Optimizers
Real Optimizers,Real Numbers
Real Functions,Intervals
Linearly Dependent Vectors,Linear Combinations
Span,Subspaces
Distance,Space Distance
Algebras,Operations
Function Composites,Functions
Function Images,Functions
Linear Equations,Arrays
Linear Equations,Linear Functions
Linear Equations,Natural Equations
Fields,Groups
Fields,Rational Numbers
Real Vectors,N-Dimensional Space
Real Vectors,Real Numbers
Interval Length,Intervals
Relations,Set Products
Set Intersections,Pair Intersections
Set Complements,Empty Set
Set Complements,Set Differences
Set Specification,Set Inclusion
Set Unions,Empty Set
Set Unions,Unordered Pairs
Equivalence Relations,Partitions
