name,need
Real Optimizers,Optimizers
Real Optimizers,Real Numbers
Optimizers,Total Orders
Real Numbers,Rational Numbers
Total Orders,Partial Orders
Rational Numbers,Integer Numbers
Partial Orders,Relations
Integer Numbers,Zero
Relations,Ordered Pairs
Zero,Equation Solutions
Zero,Natural Numbers
Ordered Pairs,Empty Set
Ordered Pairs,Unordered Pairs
Equation Solutions,Equations
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Empty Set,Set Equality
Empty Set,Standardized Accounts
Unordered Pairs,Set Specification
Equations,Identity
Set Intersections,Set Specification
Set Unions,Set Specification
Set Equality,Identity
Set Equality,Sets
Set Equality,Standardized Accounts
Standardized Accounts,Accounts
Set Specification,Sentences
Set Specification,Set Inclusion
Identity,Objects
Sets,Objects
Accounts,Deductions
Accounts,Quantified Statements
Sentences,Sets
Set Inclusion,Set Equality
Set Inclusion,Standardized Accounts
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Objects
