name,need
Real Square Roots,Natural Square Roots
Real Square Roots,Real Numbers
Natural Square Roots,Equation Solutions
Natural Square Roots,Square Numbers
Real Numbers,Rational Numbers
Equation Solutions,Arithmetic
Equation Solutions,Equations
Square Numbers,Natural Multiplication
Square Numbers,Squares
Rational Numbers,Integer Numbers
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Identity
Natural Multiplication,Natural Numbers
Integer Numbers,Equation Solutions
Natural Numbers,Functions
Operations,Functions
Identity,Objects
Functions,Relations
Relations,Ordered Pairs
Ordered Pairs,Unordered Pairs
Unordered Pairs,Set Specification
Set Specification,Sentences
Set Specification,Set Inclusion
Sentences,Sets
Set Inclusion,Set Equality
Sets,Objects
Set Equality,Identity
Set Equality,Sets
