name,need
Real Summation,Natural Summation
Real Summation,Real Numbers
Natural Summation,Family Operations
Natural Summation,Natural Sums
Real Numbers,Rational Numbers
Family Operations,Algebras
Family Operations,Families
Natural Sums,Natural Numbers
Rational Numbers,Integer Numbers
Algebras,Operations
Families,Functions
Families,Set Powers
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Integer Numbers,Zero
Operations,Functions
Functions,Relations
Set Powers,Unordered Triples
Empty Set,Set Specification
Set Intersections,Pair Intersections
Set Unions,Empty Set
Set Unions,Unordered Pairs
Zero,Equation Solutions
Zero,Natural Numbers
Relations,Cartesian Products
Unordered Triples,Pair Unions
Set Specification,Set Inclusion
Pair Intersections,Set Specification
Unordered Pairs,Set Specification
Equation Solutions,Identities
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Pair Unions,Set Unions
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Identities,Names
Ordered Pairs,Unordered Triples
Definitions,Objects
Standardized Accounts,Accounts
Names,Letters
Names,Objects
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Sets,Names
