name,need
Sequences,Direct Products
Sequences,Function Composites
Direct Products,Natural Families
Direct Products,Natural Order
Function Composites,Functions
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Functions,Relations
Families,Functions
Families,Power Set
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Relations,Ordered Pairs
Power Set,Set Inclusion
Empty Set,Set Equality
Empty Set,Standardized Accounts
Set Intersections,Set Specification
Set Unions,Set Specification
Ordered Pairs,Empty Set
Ordered Pairs,Unordered Pairs
Set Inclusion,Set Equality
Set Inclusion,Standardized Accounts
Set Equality,Identity
Set Equality,Sets
Set Equality,Standardized Accounts
Standardized Accounts,Accounts
Set Specification,Sentences
Set Specification,Set Inclusion
Unordered Pairs,Set Specification
Identity,Objects
Sets,Objects
Accounts,Deductions
Accounts,Quantified Statements
Sentences,Sets
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Objects
