name,need
Sigma Algebras,Cardinality
Sigma Algebras,Subset Algebras
Cardinality,Injective Functions
Cardinality,Natural Numbers
Subset Algebras,Cardinality
Subset Algebras,Set Operations
Subset Algebras,Set Specification
Injective Functions,Functions
Natural Numbers,Functions
Set Operations,Algebras
Set Specification,Set Equality
Functions,Relations
Algebras,Operations
Set Equality,Identity
Set Equality,Sets
Relations,Ordered Pairs
Operations,Functions
Identity,Objects
Sets,Objects
Ordered Pairs,Sets
