name,need
Signed Set Decomposition,Signed Measures
Signed Measures,Extended Real Numbers
Signed Measures,Measures
Extended Real Numbers,Intervals
Extended Real Numbers,Real Limits
Extended Real Numbers,Set Operations
Measures,Cardinality
Measures,Subset Algebras
Intervals,Real Numbers
Real Limits,Real Sequences
Set Operations,Algebras
Cardinality,Injective Functions
Cardinality,Natural Numbers
Subset Algebras,Cardinality
Subset Algebras,Set Operations
Subset Algebras,Set Specification
Subset Algebras,Subset Systems
Real Numbers,Rational Numbers
Real Sequences,Real Numbers
Real Sequences,Sequences
Algebras,Operations
Injective Functions,Functions
Natural Numbers,Functions
Set Specification,Sentences
Set Specification,Set Inclusion
Subset Systems,Ordered Pairs
Subset Systems,Set Inclusion
Rational Numbers,Integer Numbers
Sequences,Direct Products
Sequences,Function Composition
Operations,Functions
Functions,Relations
Sentences,Sets
Set Inclusion,Set Equality
Ordered Pairs,Set Equality
Integer Numbers,Equation Solutions
Direct Products,Natural Families
Direct Products,Natural Order
Function Composition,Functions
Relations,Ordered Pairs
Relations,Set Inclusion
Sets,Objects
Set Equality,Identity
Set Equality,Sets
Equation Solutions,Arithmetic
Equation Solutions,Equations
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Identity,Objects
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Identity
Families,Functions
Families,Set Specification
