name,need
Simple Functions,Characteristic Functions
Simple Functions,Partitions
Characteristic Functions,Natural Numbers
Characteristic Functions,Set Powers
Partitions,Set Intersections
Partitions,Set Unions
Natural Numbers,Empty Set
Natural Numbers,Set Intersections
Natural Numbers,Set Unions
Set Powers,Unordered Triples
Set Intersections,Pair Intersections
Set Unions,Empty Set
Set Unions,Unordered Pairs
Empty Set,Set Specification
Unordered Triples,Pair Unions
Pair Intersections,Set Specification
Unordered Pairs,Set Specification
Set Specification,Set Inclusion
Pair Unions,Set Unions
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Definitions,Objects
Standardized Accounts,Accounts
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
