name,need
Simple Integral Monotonicity,Simple Integrals
Simple Integrals,Measurable Functions
Simple Integrals,Simple Functions
Measurable Functions,Measures
Simple Functions,Characteristic Functions
Measures,Cardinality
Measures,Set Inclusion
Measures,Set Operations
Characteristic Functions,Real Functions
Cardinality,Injective Functions
Cardinality,Natural Numbers
Set Inclusion,Set Equality
Set Operations,Algebras
Real Functions,Intervals
Injective Functions,Functions
Natural Numbers,Functions
Set Equality,Identity
Set Equality,Sets
Algebras,Operations
Intervals,Real Numbers
Functions,Relations
Identity,Objects
Sets,Objects
Operations,Functions
Real Numbers,Rational Numbers
Relations,Ordered Pairs
Rational Numbers,Integer Numbers
Ordered Pairs,Sets
Integer Numbers,Solving Equations
Solving Equations,Arithmetic
Solving Equations,Equations
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Objects
