name,need
Sparsity Patterns,Symmetric Matrices
Sparsity Patterns,Undirected Graphs
Symmetric Matrices,Matrices
Undirected Graphs,Finite Sets
Matrices,Vectors
Finite Sets,Equivalent Sets
Vectors,Fields
Vectors,N-Dimensional Space
Equivalent Sets,Equivalence Relations
Equivalent Sets,Function Inverses
Equivalent Sets,Natural Numbers
Fields,Groups
Fields,Rational Numbers
N-Dimensional Space,Real Numbers
N-Dimensional Space,Space
Equivalence Relations,Partitions
Equivalence Relations,Relations
Function Inverses,Function Composites
Function Inverses,Function Images
Natural Numbers,Set Intersections
Natural Numbers,Successor Sets
Groups,Algebras
Groups,Integer Numbers
Rational Numbers,Integer Numbers
Real Numbers,Rational Numbers
Partitions,Set Intersections
Partitions,Set Unions
Relations,Cartesian Products
Function Composites,Functions
Function Images,Functions
Set Intersections,Pair Intersections
Successor Sets,Pair Intersections
Successor Sets,Pair Unions
Algebras,Operations
Integer Numbers,Natural Numbers
Set Unions,Empty Set
Set Unions,Unordered Pairs
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Functions,Relations
Pair Intersections,Set Specification
Pair Unions,Set Unions
Operations,Functions
Empty Set,Set Specification
Unordered Pairs,Set Specification
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Set Specification,Set Inclusion
Unordered Triples,Pair Unions
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Definitions,Objects
Standardized Accounts,Accounts
Accounts,Deductions
Accounts,Quantified Statements
Deductions,Logical Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
