name,need
Topological Sigma Algebra,Cardinality
Topological Sigma Algebra,Set Operations
Topological Sigma Algebra,Topological Spaces
Cardinality,Injective Functions
Cardinality,Natural Numbers
Set Operations,Algebras
Topological Spaces,Metrics
Topological Spaces,Set Operations
Injective Functions,Functions
Natural Numbers,Functions
Algebras,Operations
Metrics,Distance
Metrics,Length Common Notions
Metrics,Real Numbers
Functions,Relations
Operations,Functions
Distance,Length Common Notions
Real Numbers,Rational Numbers
Relations,Ordered Pairs
Relations,Set Inclusion
Rational Numbers,Integer Numbers
Ordered Pairs,Sets
Set Inclusion,Set Equality
Integer Numbers,Solving Equations
Sets,Objects
Set Equality,Identity
Set Equality,Sets
Solving Equations,Arithmetic
Solving Equations,Equations
Identity,Objects
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Identity
