name,need
Tree-Structured Densities,Conditional Densities
Tree-Structured Densities,Rooted Trees
Conditional Densities,Marginal Densities
Rooted Trees,Trees
Marginal Densities,Multivariate Real Densities
Trees,Graphs
Multivariate Real Densities,N-Dimensional Space
Multivariate Real Densities,Probability Densities
Graphs,Relations
N-Dimensional Space,Real Numbers
N-Dimensional Space,Space
Probability Densities,Probability Distributions
Relations,Ordered Pairs
Real Numbers,Rational Numbers
Probability Distributions,Probability Outcomes
Probability Distributions,Real Summation
Ordered Pairs,Sets
Rational Numbers,Integer Numbers
Probability Outcomes,Cardinality
Probability Outcomes,Probability
Real Summation,Natural Summation
Real Summation,Real Numbers
Sets,Objects
Integer Numbers,Solving Equations
Cardinality,Injective Functions
Cardinality,Natural Numbers
Probability,Common Sense
Natural Summation,Arithmetic
Natural Summation,Family Operations
Solving Equations,Arithmetic
Solving Equations,Equations
Injective Functions,Functions
Natural Numbers,Functions
Arithmetic,Natural Numbers
Arithmetic,Operations
Family Operations,Algebras
Family Operations,Families
Equations,Objects
Functions,Relations
Operations,Functions
Algebras,Operations
Families,Functions
Families,Set Inclusion
Families,Set Specification
Set Inclusion,Set Equality
Set Specification,Sentences
Set Specification,Set Inclusion
Set Equality,Identity
Set Equality,Sets
Sentences,Sets
Identity,Objects
