name,need
Tree-Structured Density Approximation,Differential Mutual Information Graph
Tree-Structured Density Approximation,Differential Relative Entropy
Tree-Structured Density Approximation,Optimization
Tree-Structured Density Approximation,Tree-Structured Densities
Tree-Structured Density Approximation,Tree-Structured Distribution Approximation
Differential Mutual Information Graph,Differential Mutual Information
Differential Mutual Information Graph,Graphs
Differential Relative Entropy,Differential Cross Entropy
Differential Relative Entropy,Relative Entropy
Optimization,Total Orders
Tree-Structured Densities,Conditional Densities
Tree-Structured Densities,Rooted Trees
Tree-Structured Distribution Approximation,Mutual Information Graph
Tree-Structured Distribution Approximation,Relative Entropy
Tree-Structured Distribution Approximation,Tree-Structured Distributions
Differential Mutual Information,Differential Relative Entropy
Differential Mutual Information,Marginal Densities
Differential Mutual Information,Mutual Information
Graphs,Relations
Differential Cross Entropy,Differential Entropy
Relative Entropy,Cross Entropy
Relative Entropy,Entropy
Total Orders,Partial Orders
Total Orders,Set Specification
Conditional Densities,Marginal Densities
Rooted Trees,Trees
Mutual Information Graph,Graphs
Mutual Information Graph,Mutual Information
Tree-Structured Distributions,Conditional Distributions
Tree-Structured Distributions,Rooted Trees
Marginal Densities,Multivariate Real Densities
Mutual Information,Relative Entropy
Relations,Ordered Pairs
Differential Entropy,Entropy
Differential Entropy,Multivariate Real Densities
Cross Entropy,Logarithm
Cross Entropy,Probability Distributions
Entropy,Logarithm
Entropy,Probability Distributions
Partial Orders,Relation Properties
Partial Orders,Set Specification
Set Specification,Sentences
Set Specification,Set Inclusion
Trees,Graphs
Conditional Distributions,Conditional Event Probability
Conditional Distributions,Marginal Distributions
Conditional Distributions,Probability Distributions
Multivariate Real Densities,N-Dimensional Space
Multivariate Real Densities,Probability Densities
Ordered Pairs,Sets
Logarithm,Real Numbers
Probability Distributions,Probability Outcomes
Probability Distributions,Real Summation
Relation Properties,Relations
Sentences,Sets
Set Inclusion,Set Equality
Conditional Event Probability,Event Probabilities
Marginal Distributions,Direct Products
Marginal Distributions,Probability Distributions
N-Dimensional Space,Real Numbers
N-Dimensional Space,Space
Probability Densities,Probability Distributions
Sets,Objects
Real Numbers,Rational Numbers
Probability Outcomes,Cardinality
Probability Outcomes,Probability
Real Summation,Natural Summation
Real Summation,Real Numbers
Set Equality,Identity
Set Equality,Sets
Event Probabilities,Probability Distributions
Event Probabilities,Probability Events
Event Probabilities,Set Operations
Direct Products,Natural Families
Direct Products,Natural Order
Rational Numbers,Integer Numbers
Cardinality,Injective Functions
Cardinality,Natural Numbers
Probability,Common Sense
Natural Summation,Arithmetic
Natural Summation,Family Operations
Identity,Objects
Probability Events,Probability Outcomes
Probability Events,Set Inclusion
Set Operations,Algebras
Natural Families,Families
Natural Families,Natural Numbers
Natural Order,Natural Numbers
Integer Numbers,Solving Equations
Injective Functions,Functions
Natural Numbers,Functions
Arithmetic,Natural Numbers
Arithmetic,Operations
Family Operations,Algebras
Family Operations,Families
Algebras,Operations
Families,Functions
Families,Set Inclusion
Families,Set Specification
Solving Equations,Arithmetic
Solving Equations,Equations
Functions,Relations
Operations,Functions
Equations,Objects
