name,need
Vertex Separators,Chordal Graphs
Vertex Separators,Subgraphs
Chordal Graphs,Absolute Value
Chordal Graphs,Undirected Paths
Subgraphs,Graphs
Absolute Value,Length
Absolute Value,Natural Differences
Absolute Value,Real Numbers
Undirected Paths,Direct Products
Undirected Paths,Undirected Graphs
Graphs,Unordered Pairs
Natural Differences,Natural Sums
Real Numbers,Rational Numbers
Direct Products,Families
Undirected Graphs,Finite Sets
Unordered Pairs,Set Specification
Natural Sums,Recursion Theorem
Rational Numbers,Integer Arithmetic
Rational Numbers,Integer Numbers
Families,Functions
Finite Sets,Equivalent Sets
Set Specification,Set Inclusion
Recursion Theorem,Peano Axioms
Integer Arithmetic,Integer Products
Integer Arithmetic,Integer Sums
Integer Arithmetic,Natural Additive Identity
Integer Arithmetic,Natural Multiplicative Identity
Integer Numbers,Equivalence Relations
Integer Numbers,Natural Numbers
Functions,Relations
Equivalent Sets,Equivalence Relations
Equivalent Sets,Function Inverses
Equivalent Sets,Natural Numbers
Equivalent Sets,Natural Order
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Peano Axioms,Natural Induction
Integer Products,Integer Numbers
Integer Products,Natural Products
Integer Sums,Integer Numbers
Integer Sums,Natural Sums
Natural Additive Identity,Arithmetic
Natural Additive Identity,Identity Elements
Natural Multiplicative Identity,Arithmetic
Natural Multiplicative Identity,Identity Elements
Equivalence Relations,Partitions
Equivalence Relations,Relations
Natural Numbers,Intersection of Empty Set
Natural Numbers,Set Differences
Natural Numbers,Successor Sets
Relations,Cartesian Products
Function Inverses,Function Composites
Function Inverses,Function Images
Natural Order,Peano Axioms
Definitions,Objects
Standardized Accounts,Accounts
Natural Induction,Natural Numbers
Natural Products,Natural Sums
Arithmetic,Natural Exponents
Arithmetic,Operations
Identity Elements,Operations
Partitions,Set Intersections
Partitions,Set Unions
Intersection of Empty Set,Pair Unions
Intersection of Empty Set,Set Intersections
Set Differences,Set Specification
Successor Sets,Pair Unions
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Function Composites,Functions
Function Images,Functions
Accounts,Deductions
Accounts,Quantified Statements
Natural Exponents,Natural Products
Operations,Functions
Set Intersections,Pair Intersections
Set Unions,Empty Set
Set Unions,Unordered Pairs
Pair Unions,Set Unions
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Deductions,Logical Statements
Quantified Statements,Logical Statements
Pair Intersections,Set Specification
Empty Set,Set Specification
Unordered Triples,Pair Unions
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
