name,need
Weighted Graphs,Graphs
Weighted Graphs,Real Numbers
Graphs,Unordered Pairs
Real Numbers,Rational Numbers
Unordered Pairs,Set Specification
Rational Numbers,Integer Numbers
Set Specification,Set Inclusion
Integer Numbers,Natural Numbers
Set Inclusion,Definitions
Set Inclusion,Standardized Accounts
Natural Numbers,Set Intersections
Natural Numbers,Successor Sets
Definitions,Objects
Standardized Accounts,Accounts
Set Intersections,Pair Intersections
Successor Sets,Pair Intersections
Successor Sets,Pair Unions
Accounts,Deductions
Accounts,Quantified Statements
Pair Intersections,Set Specification
Pair Unions,Set Unions
Deductions,Logical Statements
Quantified Statements,Logical Statements
Set Unions,Empty Set
Set Unions,Unordered Pairs
Logical Statements,Statements
Empty Set,Set Specification
Statements,Identities
Statements,Sets
Identities,Names
Sets,Names
Names,Letters
Names,Objects
