name,need
Weighted Least Squares Linear Predictors,Inner Products
Weighted Least Squares Linear Predictors,Least Squares Linear Predictors
Inner Products,Vectors
Least Squares Linear Predictors,Loss Functions
Least Squares Linear Predictors,Matrix Inverses
Least Squares Linear Predictors,Matrix Transpose
Least Squares Linear Predictors,Norms
Vectors,Fields
Vectors,N-Dimensional Space
Loss Functions,Inductors
Loss Functions,Real Numbers
Matrix Inverses,Inverse Elements
Matrix Inverses,Matrix-Matrix Products
Matrix Transpose,Matrices
Norms,Functionals
Fields,Groups
Fields,Rational Numbers
N-Dimensional Space,Distance
Inductors,Datasets
Real Numbers,Rational Numbers
Inverse Elements,Element Functions
Inverse Elements,Function Inverses
Matrix-Matrix Products,Matrices
Matrices,Vectors
Functionals,Absolute Value
Functionals,Vectors
Groups,Algebras
Groups,Integer Additive Inverses
Groups,Integer Arithmetic
Rational Numbers,Integer Arithmetic
Distance,Space Distance
Datasets,Direct Products
Element Functions,Algebras
Function Inverses,Function Composites
Function Inverses,Function Images
Absolute Value,Interval Length
Algebras,Operations
Integer Additive Inverses,Integer Sums
Integer Additive Inverses,Inverse Elements
Integer Arithmetic,Integer Products
Integer Arithmetic,Integer Sums
Integer Arithmetic,Natural Additive Identity
Integer Arithmetic,Natural Multiplicative Identity
Space Distance,Plane Distance
Space Distance,Real Space
Direct Products,Families
Function Composites,Functions
Function Images,Functions
Interval Length,Intervals
Operations,Functions
Integer Sums,Integer Numbers
Integer Sums,Natural Sums
Integer Products,Integer Numbers
Integer Products,Natural Products
Natural Additive Identity,Arithmetic
Natural Additive Identity,Identity Elements
Natural Multiplicative Identity,Arithmetic
Natural Multiplicative Identity,Identity Elements
Plane Distance,Interval Length
Plane Distance,Real Plane
Real Space,Direct Products
Real Space,Geometry
Real Space,Real Order
Families,Functions
Functions,Relations
Intervals,Real Line
Integer Numbers,Equivalence Relations
Integer Numbers,Natural Numbers
Natural Sums,Recursion Theorem
Natural Products,Natural Sums
Arithmetic,Natural Exponents
Arithmetic,Operations
Identity Elements,Operations
Real Plane,Direct Products
Real Plane,Geometry
Real Plane,Real Order
Geometry,Sets
Real Order,Real Numbers
Relations,Cartesian Products
Real Line,Geometry
Real Line,Real Order
Equivalence Relations,Partitions
Equivalence Relations,Relations
Natural Numbers,Intersection of Empty Set
Natural Numbers,Set Differences
Natural Numbers,Successor Sets
Recursion Theorem,Peano Axioms
Natural Exponents,Natural Products
Sets,Names
Cartesian Products,Ordered Pairs
Cartesian Products,Set Powers
Partitions,Set Intersections
Partitions,Set Unions
Intersection of Empty Set,Pair Unions
Intersection of Empty Set,Set Intersections
Set Differences,Set Specification
Successor Sets,Pair Unions
Peano Axioms,Natural Induction
Names,Letters
Names,Objects
Ordered Pairs,Unordered Pairs
Set Powers,Unordered Triples
Set Intersections,Pair Intersections
Set Unions,Empty Set
Set Unions,Unordered Pairs
Pair Unions,Set Unions
Set Specification,Set Inclusion
Natural Induction,Natural Numbers
Unordered Pairs,Set Specification
Unordered Triples,Pair Unions
Pair Intersections,Set Specification
Empty Set,Set Specification
Set Inclusion,Standardized Accounts
Standardized Accounts,Accounts
Accounts,Deductions
Deductions,Quantified Statements
Quantified Statements,Logical Statements
Logical Statements,Statements
Statements,Identities
Statements,Sets
Identities,Names
