name,need
Zero Sum Matrix Games,Matrix Games
Matrix Games,Matrices
Matrices,Vectors
Vectors,Fields
Vectors,Groups
Fields,Groups
Groups,Algebras
Groups,Integer Numbers
Algebras,Operations
Integer Numbers,Solving Equations
Operations,Functions
Solving Equations,Arithmetic
Solving Equations,Equations
Functions,Relations
Functions,Set Specification
Arithmetic,Natural Numbers
Arithmetic,Operations
Equations,Objects
Relations,Ordered Pairs
Set Specification,Set Extension
Natural Numbers,Functions
Ordered Pairs,Sets
Set Extension,Identity
Sets,Objects
Identity,Objects
